for the against side to against,for the for side to for,from the against side to for,from the against side to undecided,from the for side to against,from the for side to undecided,from undecided to against,from undecided to for,post-debate-against,post-debate-for,post-debate-undecided,pre-debate-against,pre-debate-for,pre-debate-undecided,undecided to undecided,url,winner,id
0,100,0,0,0,0,0,0,0,100,0,0,100,0,0,https://www.intelligencesquaredus.org/debates/america-cannot-and-will-not-succeed-afghanistanpakistan,undecided,d20091012
0,100,0,0,0,0,0,0,0,100,0,0,100,0,0,https://www.intelligencesquaredus.org/debates/buy-americanhire-american-policies-will-backfire,undecided,d20090921
0,100,0,0,0,0,0,0,0,100,0,0,100,0,0,https://www.intelligencesquaredus.org/debates/diplomacy-iran-going-nowhere,undecided,d20090512
33,11,44,0,0,0,0,11,33,67,0,78,11,11,0,https://www.intelligencesquaredus.org/debates/its-wrong-pay-sex,for,d20090421
100,0,0,0,0,0,0,0,100,0,0,100,0,0,0,https://www.intelligencesquaredus.org/debates/blame-washington-more-wall-street-financial-crisis,undecided,d20090317
0,50,0,0,0,0,0,50,0,100,0,0,50,50,0,https://www.intelligencesquaredus.org/debates/art-market-less-ethical-stock-market,for,d20090203
0,100,0,0,0,0,0,0,0,100,0,0,100,0,0,https://www.intelligencesquaredus.org/debates/major-reductions-carbon-emissions-are-not-worth-money,undecided,d20090113
0,88,0,0,0,0,13,0,13,88,0,0,88,13,0,https://www.intelligencesquaredus.org/debates/bush-43-worst-president-last-50-years,against,d20081202
50,50,0,0,0,0,0,0,50,50,0,50,50,0,0,https://www.intelligencesquaredus.org/debates/google-violates-its-dont-be-evil-motto,undecided,d20081118
33,0,33,0,0,0,0,33,33,67,0,67,0,33,0,https://www.intelligencesquaredus.org/debates/guns-reduce-crime,for,d20081028
33,0,33,0,0,0,33,0,67,33,0,67,0,33,0,https://www.intelligencesquaredus.org/debates/america-finally-winning-war-iraq,for,d20081007
9,55,18,0,0,0,0,18,9,91,0,27,55,18,0,https://www.intelligencesquaredus.org/debates/universal-health-coverage-should-be-federal-governments-responsibility,for,d20080916
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.intelligencesquaredus.org/debates/we-should-legalize-market-human-organs,undecided,d20080513
33,67,0,0,0,0,0,0,33,67,0,33,67,0,0,https://www.intelligencesquaredus.org/debates/islam-dominated-radicals,undecided,d20080415
100,0,0,0,0,0,0,0,100,0,0,100,0,0,0,https://www.intelligencesquaredus.org/debates/tough-interrogation-terror-suspects-necessary,undecided,d20080311
100,0,0,0,0,0,0,0,100,0,0,100,0,0,0,https://www.intelligencesquaredus.org/debates/america-should-be-worlds-policeman,undecided,d20080212
0,12,0,40,4,32,0,12,4,24,72,40,48,12,0,https://www.intelligencesquaredus.org/debates/we-should-accept-performance-enhancing-drugs-competitive-sports,undecided,d20080115
0,23,54,0,0,0,0,15,0,92,8,54,23,23,8,https://www.intelligencesquaredus.org/debates/aid-africa-doing-more-harm-good,for,d20071204
